詞彙,注音,英譯,量詞
轉,ㄓㄨㄢˇ,"to revolve / to turn / to circle about / to walk about / classifier for revolutions (per minute etc): revs, rpm / classifier for repeated actions",
掉,ㄉㄧㄠˋ,"to fall / to drop / to lag behind / to lose / to go missing / to reduce / fall (in prices) / to lose (value, weight etc) / to wag / to swing / to turn / to change / to exchange / to swap / to show off / to shed (hair) / (used after certain verbs to express completion, fulfillment, removal etc)",
一直,ㄧ ㄓˊ,straight (in a straight line) / continuously / always / from the beginning of ... up to ... / all along,
過去,ㄍㄨㄛˋ ㄑㄩˋ,(verb suffix),
最後,ㄗㄨㄟˋ ㄏㄡˋ,final / last / finally / ultimate,
動,ㄉㄨㄥˋ,"(of sth) to move / to set in movement / to displace / to touch / to make use of / to stir (emotions) / to alter / abbr. for 動詞词[dong4 ci2], verb",
躺,ㄊㄤˇ,to recline / to lie down,
起,ㄑㄧˇ,"to rise / to raise / to get up / to set out / to start / to appear / to launch / to initiate (action) / to draft / to establish / to get (from a depot or counter) / verb suffix, to start / starting from (a time, place, price etc) / classifier for occurrences or unpredictable events: case, instance / classifier for groups: batch, group",
停,ㄊㄧㄥˊ,to stop / to halt / to park (a car),
中心,ㄓㄨㄥ ㄒㄧㄣ,center / heart / core,個
外國,ㄨㄞˋ ㄍㄨㄛˊ,foreign (country),個
護照,ㄏㄨˋ ㄓㄠˋ,passport,本 / 個
行李,ㄒㄧㄥˊ ㄌㄧˇ,luggage,件
出口,ㄔㄨ ㄎㄡˇ,an exit / to speak / to export / (of a ship) to leave port,個
油,ㄧㄡˊ,"oil / fat / grease / petroleum / to apply tung oil, paint or varnish / oily / greasy / glib / cunning",
鑰匙,ㄧㄠˋ ㄕ˙,key,把
袋子,ㄉㄞˋ ㄗ˙,bag,
公里,ㄍㄨㄥ ㄌㄧˇ,kilometer,
方向,ㄈㄤ ㄒㄧㄤˋ,direction / orientation / path to follow,個
出現,ㄔㄨ ㄒㄧㄢˋ,to appear / to arise / to emerge / to show up,
交通,ㄐㄧㄠ ㄊㄨㄥ,to be connected / traffic / transportation / communications / liaison,
臉,ㄌㄧㄢˇ,face,張 / 個
腿,ㄊㄨㄟˇ,leg,條
腳,ㄐㄧㄠˇ,variant of 角[jue2] / role,
心,ㄒㄧㄣ,heart / mind / intention / center / core,顆 / 個
鼻,ㄅㄧˊ,nose,
鼻子,ㄅㄧˊ ㄗ˙,nose,個 / 隻
背,ㄅㄟˋ,the back of a body or object / to turn one's back / to hide something from / to learn by heart / to recite from memory / unlucky (slang) / hard of hearing,
嘴巴,ㄗㄨㄟˇ ㄅㄚ˙,mouth / slap in the face,張 / 個
脖子,ㄅㄛˊ ㄗ˙,neck,個
健康,ㄐㄧㄢˋ ㄎㄤ,health / healthy,
感覺,ㄍㄢˇ ㄐㄩㄝˊ,to feel / to become aware of / feeling / sense / perception,個
感覺,ㄍㄢˇ ㄐㄩㄝˊ,to feel / to become aware of / feeling / sense / perception,個
救護車,ㄐㄧㄡˋ ㄏㄨˋ ㄔㄜ,ambulance,輛
咳嗽,ㄎㄜˊ ㄙㄡˋ,to cough,陣
發燒,ㄈㄚ ㄕㄠ,to have a high temperature (from illness) / to have a fever,
疼,ㄊㄥˊ,(it) hurts / sore / to love dearly,
保險,ㄅㄠˇ ㄒㄧㄢˇ,insurance / to insure / safe / secure / be sure / be bound to,份
病,ㄅㄧㄥˋ,illness / disease / to fall ill / defect,場
看病,ㄎㄢˋ ㄅㄧㄥˋ,to visit a doctor / to see a patient,
病人,ㄅㄧㄥˋ ㄖㄣˊ,sick person / patient / invalid,個
掛號,ㄍㄨㄚˋ ㄏㄠˋ,to register (at a hospital etc) / to send by registered mail,
牙刷,ㄧㄚˊ ㄕㄨㄚ,toothbrush,把
剪,ㄐㄧㄢˇ,scissors / shears / clippers / to cut with scissors / to trim / to wipe out or exterminate,把
藥房,ㄧㄠˋ ㄈㄤˊ,pharmacy / drugstore,
恢復,ㄏㄨㄟ ㄈㄨˋ,to reinstate / to resume / to restore / to recover / to regain / to rehabilitate,
救命,ㄐㄧㄡˋ ㄇㄧㄥˋ,to save sb's life / (interj.) Help! / Save me!,
影響,ㄧㄥˇ ㄒㄧㄤˇ,influence / effect / to influence / to affect (usually adversely) / to disturb,股
影響,ㄧㄥˇ ㄒㄧㄤˇ,influence / effect / to influence / to affect (usually adversely) / to disturb,股
飽,ㄅㄠˇ,to eat till full / satisfied,
吃飽,ㄔ ㄅㄠˇ,to eat one's fill,
簡單,ㄐㄧㄢˇ ㄉㄢ,simple / not complicated,
書店,ㄕㄨ ㄉㄧㄢˋ,bookstore,家
超級市場,ㄔㄠ ㄐㄧˊ ㄕˋ ㄔㄤˇ,supermarket,
超市,ㄔㄠ ㄕˋ,supermarket / abbr. for 超級市場级市场,家
戴,ㄉㄞˋ,"to put on or wear (glasses, hat, gloves etc) / to respect / to bear / to support",
試,ㄕˋ,to test / to try / experiment / examination / test,
輕,ㄑㄧㄥ,light / easy / gentle / soft / reckless / unimportant / frivolous / small in number / unstressed / neutral / to disparage,
重,ㄓㄨㄥˋ,heavy / serious / to attach importance to,
流行,ㄌㄧㄡˊ ㄒㄧㄥˊ,"(of a contagious disease etc) to spread / to propagate / (of a style of clothing, song etc) popular / fashionable",
藍色,ㄌㄢˊ ㄙㄜˋ,blue (color),
綠色,ㄌㄩˋ ㄙㄜˋ,green,
紅色,ㄏㄨㄥˊ ㄙㄜˋ,red (color) / revolutionary,
黑色,ㄏㄟ ㄙㄜˋ,black,
手表,ㄕㄡˇ ㄅㄧㄠˇ,wrist watch,塊 / 隻 / 個
手錶,ㄕㄡˇ ㄅㄧㄠˇ,wrist watch,塊 / 隻 / 個
付,ㄈㄨˋ,to pay / to hand over to / classifier for pairs or sets of things,
襯衫,ㄔㄣˋ ㄕㄢ,shirt / blouse,件
毛衣,ㄇㄠˊ ㄧ,(wool) sweater,件
大衣,ㄉㄚˋ ㄧ,overcoat / topcoat / cloak,件
牛仔褲,ㄋㄧㄡˊ ㄗˇ ㄎㄨˋ,jeans,條
雨衣,ㄩˇ ㄧ,raincoat,件
內衣,ㄋㄟˋ ㄧ,undergarment / underwear,件
帽子,ㄇㄠˋ ㄗ˙,hat / cap / (fig.) label / bad name,頂
皮包,ㄆㄧˊ ㄅㄠ,handbag / briefcase,
外套,ㄨㄞˋ ㄊㄠˋ,coat / jacket,件
乾,ㄍㄢ,dry / clean / in vain / dried food / foster / adoptive / to ignore,
舊,ㄐㄧㄡˋ,old / opposite: new 新 / former / worn (with age),
價格,ㄐㄧㄚˋ ㄍㄜˊ,price,個
價錢,ㄐㄧㄚˋ ㄑㄧㄢˊ,price,
排隊,ㄆㄞˊ ㄉㄨㄟˋ,to line up,
信用卡,ㄒㄧㄣˋ ㄩㄥˋ ㄎㄚˇ,credit card,
毛,ㄇㄠˊ,"hair / feather / down / wool / mildew / mold / coarse or semifinished / young / raw / careless / unthinking / nervous / scared / (of currency) to devalue or depreciate / classifier for Chinese fractional monetary unit ( = 角[jiao3] , = one-tenth of a yuan or 10 fen 分[fen1])",
比較,ㄅㄧˇ ㄐㄧㄠˋ,to compare / to contrast / comparatively / relatively / quite / comparison,
樣子,ㄧㄤˋ ㄗ˙,appearance / manner / pattern / model,
特別,ㄊㄜˋ ㄅㄧㄝˊ,especially / special / particular / unusual,
一般,ㄧ ㄅㄢ,same / ordinary / so-so / common / general / generally / in general,
圓,ㄩㄢˊ,circle / round / circular / spherical / (of the moon) full / unit of Chinese currency (yuan) / tactful / to make consistent and whole (the narrative of a dream or a lie),
光,ㄍㄨㄤ,light / ray / bright / only / merely / to use up,道
看見,ㄎㄢˋ ㄐㄧㄢˋ,to see / to catch sight of,
其他,ㄑㄧˊ ㄊㄚ,other / (sth or sb) else / the rest,
聲音,ㄕㄥ ㄧㄣ,voice / sound,個
大聲,ㄉㄚˋ ㄕㄥ,loud voice / in a loud voice / loudly,
好像,ㄏㄠˇ ㄒㄧㄤˋ,as if / to seem like,
像,ㄒㄧㄤˋ,to resemble / to be like / to look as if / such as / appearance / image / portrait / image under a mapping (math.),
奇怪,ㄑㄧˊ ㄍㄨㄞˋ,strange / odd / to marvel / to be baffled,
死,ㄙˇ,to die / impassable / uncrossable / inflexible / rigid / extremely / damned,
髒,ㄗㄤ,dirty / filthy,
差不多,ㄔㄚˋ ㄅㄨˋ ㄉㄨㄛ,almost / nearly / more or less / about the same / good enough / not bad,
差不多,ㄔㄚˋ ㄅㄨˋ ㄉㄨㄛ,almost / nearly / more or less / about the same / good enough / not bad,
一共,ㄧ ㄍㄨㄥˋ,altogether,
需要,ㄒㄩ ㄧㄠˋ,to need / to want / to demand / to require / requirement / need,
牛排,ㄋㄧㄡˊ ㄆㄞˊ,steak,
米,ㄇㄧˇ,rice / meter (classifier),粒
三明治,ㄙㄢ ㄇㄧㄥˊ ㄓˋ,sandwich (loanword),個
西瓜,ㄒㄧ ㄍㄨㄚ,watermelon,顆 / 粒 / 個
啤酒,ㄆㄧˊ ㄐㄧㄡˇ,beer (loanword),杯 / 瓶 / 罐 / 桶 / 缸
紅茶,ㄏㄨㄥˊ ㄔㄚˊ,black tea,杯 / 壺
點菜,ㄉㄧㄢˇ ㄘㄞˋ,to order dishes (in a restaurant),
包,ㄅㄠ,to cover / to wrap / to hold / to include / to take charge of / to contract (to or for) / package / wrapper / container / bag / to hold or embrace / bundle / packet,個 / 隻
酸,ㄙㄨㄢ,sour / tart / sick at heart / grieved / sore / aching / pedantic / impractical / to make sarcastic remarks about sb / an acid,
苦,ㄎㄨˇ,bitter / hardship / pain / to suffer / to bring suffering to / painstakingly,
鹹,ㄒㄧㄢˊ,salted / salty / stingy / miserly,
辣,ㄌㄚˋ,hot (spicy) / pungent,
點心,ㄉㄧㄢˇ ㄒㄧㄣ,light refreshments / pastry / dimsum (in Cantonese cooking) / dessert,
冰淇淋,ㄅㄧㄥ ㄑㄧˊ ㄌㄧㄣˊ,ice cream,
餅乾,ㄅㄧㄥˇ ㄍㄢ,biscuit / cracker / cookie,片 / 塊
漢堡,ㄏㄢˋ ㄅㄠˇ,hamburger (loanword),
青菜,ㄑㄧㄥ ㄘㄞˋ,green vegetables / Chinese cabbage,
鹽,ㄧㄢˊ,salt,粒
糖,ㄊㄤˊ,sugar / sweets / candy,顆 / 塊
煮,ㄓㄨˇ,to cook / to boil,
碗,ㄨㄢˇ,bowl / cup,隻 / 個
盤,ㄆㄢˊ,"plate / dish / tray / board / hard drive (computing) / to build / to coil / to check / to examine / to transfer (property) / to make over / classifier for food: dish, helping / to coil / classifier for coils of wire / classifier for games of chess",
條,ㄊㄧㄠˊ,"strip / item / article / clause (of law or treaty) / classifier for long thin things (ribbon, river, road, trousers etc)",
位,ㄨㄟˋ,position / location / place / seat / classifier for people (honorific) / classifier for binary bits (e.g. 十六位 16-bit or 2 bytes) / (physics) potential,
種,ㄓㄨㄥˇ,to plant / to grow / to cultivate,
口,ㄎㄡˇ,"mouth / classifier for things with mouths (people, domestic animals, cannons, wells etc) / classifier for bites or mouthfuls",
夠,ㄍㄡˋ,enough (sufficient) / enough (too much) / (coll.) (before adj.) really / (coll.) to reach by stretching out,
任何,ㄖㄣˋ ㄏㄜˊ,any / whatever / whichever / whatsoever,
味道,ㄨㄟˋ ㄉㄠˋ,flavor / smell / hint of,
香,ㄒㄧㄤ,fragrant / sweet smelling / aromatic / savory or appetizing / (to eat) with relish / (of sleep) sound / perfume or spice / joss or incense stick,根
全部,ㄑㄩㄢˊ ㄅㄨˋ,whole / entire / complete,
所有,ㄙㄨㄛˇ ㄧㄡˇ,all / to have / to possess / to own,
許多,ㄒㄩˇ ㄉㄨㄛ,many / a lot of / much,
新鮮,ㄒㄧㄣ ㄒㄧㄢ,"fresh (experience, food etc) / freshness / novel / uncommon",
烤,ㄎㄠˇ,to roast / to bake / to broil,
嚐,ㄔㄤˊ,variant of 嘗[chang2] / to taste / to experience,
裝,ㄓㄨㄤ,adornment / to adorn / dress / clothing / costume (of an actor in a play) / to play a role / to pretend / to install / to fix / to wrap (sth in a bag) / to load / to pack,
刀,ㄉㄠ,knife / blade / single-edged sword / cutlass / (slang) dollar (loanword) / classifier for sets of one hundred sheets (of paper) / classifier for knife cuts or stabs,把
刀子,ㄉㄠ ㄗ˙,knife,把
叉,ㄔㄚ,to diverge / to open (as legs),
叉子,ㄔㄚ ㄗ˙,fork,把
湯匙,ㄊㄤ ㄔˊ,soup spoon / tablespoon,把
筷子,ㄎㄨㄞˋ ㄗ˙,chopsticks,對 / 根 / 把 / 雙
沒有,ㄇㄟˊ ㄧㄡˇ,haven't / hasn't / doesn't exist / to not have / to not be,
別,ㄅㄧㄝˊ,to leave / to depart / to separate / to distinguish / to classify / other / another / don't ...! / to pin / to stick (sth) in,
不用,ㄅㄨˋ ㄩㄥˋ,need not,
不但,ㄅㄨˋ ㄉㄢˋ,not only (... but also...),
只好,ㄓˇ ㄏㄠˇ,without any better option / to have to / to be forced to,
正在,ㄓㄥˋ ㄗㄞˋ,just at (that time) / right in (that place) / right in the middle of (doing sth),
馬上,ㄇㄚˇ ㄕㄤˋ,at once / right away / immediately / on horseback (i.e. by military force),
把,ㄅㄚˇ,handle,
被,ㄅㄟˋ,"quilt / by / (indicates passive-voice clauses) / (literary) to cover / to meet with / (coll.) (since c. 2009) used before a verb that does not accurately represent what actually happened, to describe with black humor how sb or sth was dealt with by the authorities (as in 被自殺自杀[bei4 zi4 sha1])",
讓,ㄖㄤˋ,"to yield / to permit / to let sb do sth / to have sb do sth / to make sb (feel sad etc) / by (indicates the agent in a passive clause, like 被[bei4])",
或,ㄏㄨㄛˋ,maybe / perhaps / might / possibly / or,
或是,ㄏㄨㄛˋ ㄕˋ,or / either one or the other,
可能,ㄎㄜˇ ㄋㄥˊ,might (happen) / possible / probable / possibility / probability / maybe / perhaps,個
然後,ㄖㄢˊ ㄏㄡˋ,after / then (afterwards) / after that / afterwards,
但是,ㄉㄢˋ ㄕ˙,but / however,
而且,ㄦˊ ㄑㄧㄝˇ,(not only ...) but also / moreover / in addition / furthermore,
雖然,ㄙㄨㄟ ㄖㄢˊ,although / even though / even if,
原來,ㄩㄢˊ ㄌㄞˊ,"original / former / originally / formerly / at first / so, actually, as it turns out",
也許,ㄧㄝˇ ㄒㄩˇ,perhaps / maybe,
為了,ㄨㄟˋ ㄌㄜ˙,in order to / for the purpose of / so as to,
必須,ㄅㄧˋ ㄒㄩ,to have to / must / compulsory / necessarily,
永遠,ㄩㄥˇ ㄩㄢˇ,forever / eternal,
邊,ㄅㄧㄢ,suffix of a noun of locality,
邊兒,ㄅㄧㄢ ㄦ,"side / edge / margin / border / boundary / proximity / thread (of ideas, plots etc) / see also 邊[bian1]",
那麼,ㄋㄚˋ ㄇㄜ˙,like that / in that way / or so / so / so very much / about / in that case,
這麼,ㄓㄜˋ ㄇㄜ˙,so much / this much / how much? / this way / like this,
本來,ㄅㄣˇ ㄌㄞˊ,original / originally / at first / it goes without saying / of course,
要是,ㄧㄠˋ ㄕˋ,(coll.) if,
