詞彙,注音,英譯,量詞
對了,ㄉㄨㄟˋ ㄌㄜ˙,"Correct! / Oh, that's right, ... (when one suddenly remembers sth one wanted to mention) / Oh, by the way, ...",
對象,ㄉㄨㄟˋ ㄒㄧㄤˋ,target / object / partner / boyfriend / girlfriend,個
多多少少,ㄉㄨㄛ ㄉㄨㄛ ㄕㄠˇ ㄕㄠˇ,to some extent / more or less,
多麼,ㄉㄨㄛ ㄇㄜ˙,how (wonderful etc) / what (a great idea etc) / however (difficult it may be etc) / (in interrogative sentences) how (much etc) / to what extent,
朵,ㄉㄨㄛˇ,"flower / earlobe / fig. item on both sides / classifier for flowers, clouds etc",
頓,ㄉㄨㄣˋ,"to stop / to pause / to arrange / to lay out / to kowtow / to stamp (one's foot) / at once / classifier for meals, beatings, scoldings etc: time, bout, spell, meal",
嗯,ㄣ˙,"interjection indicating approval, appreciation or agreement",
而,ㄦˊ,and / as well as / and so / but (not) / yet (not) / (indicates causal relation) / (indicates change of state) / (indicates contrast),
兒童,ㄦˊ ㄊㄨㄥˊ,child,個
發,ㄈㄚ,to send out / to show (one's feeling) / to issue / to develop / to make a bundle of money / classifier for gunshots (rounds),
發表,ㄈㄚ ㄅㄧㄠˇ,to issue / to publish,
發財,ㄈㄚ ㄘㄞˊ,to get rich,
發出,ㄈㄚ ㄔㄨ,"to issue (an order, decree etc) / to send out / to dispatch / to produce (a sound) / to let out (a laugh)",
發達,ㄈㄚ ㄉㄚˊ,developed (country etc) / flourishing / to develop,
發揮,ㄈㄚ ㄏㄨㄟ,to display / to exhibit / to bring out implicit or innate qualities / to express (a thought or moral) / to develop (an idea) / to elaborate (on a theme),
發覺,ㄈㄚ ㄐㄩㄝˊ,to become aware / to detect / to realize / to perceive,
發明,ㄈㄚ ㄇㄧㄥˊ,to invent / an invention,個
發明,ㄈㄚ ㄇㄧㄥˊ,to invent / an invention,個
發脾氣,ㄈㄚ ㄆㄧˊ ㄑㄧˋ,to get angry,
發票,ㄈㄚ ㄆㄧㄠˋ,invoice / receipt or bill for purchase,
法律,ㄈㄚˇ ㄌㄩˋ,law,條 /  套 /  個
翻,ㄈㄢ,to turn over / to flip over / to overturn / to rummage through / to translate / to decode / to double / to climb over or into / to cross,
翻譯,ㄈㄢ ㄧˋ,to translate / to interpret / translator / interpreter / translation / interpretation,個 / 位 / 名
煩惱,ㄈㄢˊ ㄋㄠˇ,to be worried / to be distressed / worries,
反而,ㄈㄢˇ ㄦˊ,instead / on the contrary / contrary (to expectations),
反應,ㄈㄢˇ ㄧㄥˋ,to react / to respond / reaction / response / reply / chemical reaction,個
犯,ㄈㄢˋ,to violate / to offend / to assault / criminal / crime / to make a mistake / recurrence (of mistake or sth bad),
範圍,ㄈㄢˋ ㄨㄟˊ,range / scope / limit / extent,個
方面,ㄈㄤ ㄇㄧㄢˋ,respect / aspect / field / side,個
方式,ㄈㄤ ㄕˋ,way / manner / style / mode / pattern,個
房東,ㄈㄤˊ ㄉㄨㄥ,landlord,
房客,ㄈㄤˊ ㄎㄜˋ,tenant,
房屋,ㄈㄤˊ ㄨ,house / building,所 / 套
訪問,ㄈㄤˇ ㄨㄣˋ,to visit / to call on / to interview,次
放心,ㄈㄤˋ ㄒㄧㄣ,to feel relieved / to feel reassured / to be at ease,
非,ㄈㄟ,to not be / not / wrong / incorrect / non- / un- / in- / to reproach or blame / (colloquial) to insist on / simply must,
非,ㄈㄟ,to not be / not / wrong / incorrect / non- / un- / in- / to reproach or blame / (colloquial) to insist on / simply must,
飛,ㄈㄟ,to fly,
費用,ㄈㄟˋ ㄩㄥˋ,cost / expenditure / expense,筆 / 個
分開,ㄈㄣ ㄎㄞ,to separate / to part,
份,ㄈㄣˋ,"classifier for gifts, newspaper, magazine, papers, reports, contracts etc / variant of 分[fen4]",
封,ㄈㄥ,"to confer / to grant / to bestow a title / to seal / classifier for sealed objects, esp. letters",
豐富,ㄈㄥ ㄈㄨˋ,to enrich / rich / plentiful / abundant,
風格,ㄈㄥ ㄍㄜˊ,style,
風俗,ㄈㄥ ㄙㄨˊ,social custom,個
佛教,ㄈㄛˊ ㄐㄧㄠˋ,Buddhism,
否則,ㄈㄡˇ ㄗㄜˊ,if not / otherwise / else / or else,
夫婦,ㄈㄨ ㄈㄨˋ,a (married) couple / husband and wife,對
符合,ㄈㄨˊ ㄏㄜˊ,in keeping with / in accordance with / tallying with / in line with / to agree with / to accord with / to conform to / to correspond with / to manage / to handle,
福利,ㄈㄨˊ ㄌㄧˋ,material benefit / benefit in kind / (social) welfare,
服裝,ㄈㄨˊ ㄓㄨㄤ,dress / clothing / costume / clothes,身
腐敗,ㄈㄨˇ ㄅㄞˋ,corruption / to corrupt / to rot / rotten,
付出,ㄈㄨˋ ㄔㄨ,to pay / to invest (energy or time in a friendship etc),
負擔,ㄈㄨˋ ㄉㄢ,burden / to bear a burden,
負擔,ㄈㄨˋ ㄉㄢ,burden / to bear a burden,
負責,ㄈㄨˋ ㄗㄜˊ,to be in charge of / to take responsibility for / to be to blame / conscientious,
複習,ㄈㄨˋ ㄒㄧˊ,variant of 復習习[fu4 xi2],
該,ㄍㄞ,should / ought to / probably / must be / to deserve / to owe / to be sb's turn to do sth / that / the above-mentioned,
改,ㄍㄞˇ,to change / to alter / to transform / to correct,
改變,ㄍㄞˇ ㄅㄧㄢˋ,to change / to alter / to transform,
改變,ㄍㄞˇ ㄅㄧㄢˋ,to change / to alter / to transform,
改進,ㄍㄞˇ ㄐㄧㄣˋ,to improve / to make better,個
改善,ㄍㄞˇ ㄕㄢˋ,to make better / to improve,個
改天,ㄍㄞˇ ㄊㄧㄢ,another day / some other time / to find another day (for appointment etc) / to take a rain check,
蓋,ㄍㄞˋ,lid / top / cover / canopy / to cover / to conceal / to build,
概念,ㄍㄞˋ ㄋㄧㄢˋ,concept / idea,個
敢,ㄍㄢˇ,to dare / daring / (polite) may I venture,
趕,ㄍㄢˇ,to overtake / to catch up with / to hurry / to rush / to try to catch (the bus etc) / to drive (cattle etc) forward / to drive (sb) away / to avail oneself of (an opportunity) / until,
趕快,ㄍㄢˇ ㄎㄨㄞˋ,at once / immediately,
趕上,ㄍㄢˇ ㄕㄤˋ,to keep up with / to catch up with / to overtake / to chance upon / in time for,
感動,ㄍㄢˇ ㄉㄨㄥˋ,to move (sb) / to touch (sb emotionally) / moving,
感想,ㄍㄢˇ ㄒㄧㄤˇ,impressions / reflections / thoughts,通 / 個
感興趣,ㄍㄢˇ ㄒㄧㄥˋ ㄑㄩˋ,to be interested,
剛,ㄍㄤ,hard / firm / strong / just / barely / exactly,
高速,ㄍㄠ ㄙㄨˋ,high speed,
高中,ㄍㄠ ㄓㄨㄥ,to pass brilliantly (used in congratulatory fashion),
搞,ㄍㄠˇ,to do / to make / to go in for / to set up / to get hold of / to take care of,
歌曲,ㄍㄜ ㄑㄩˇ,song,
歌星,ㄍㄜ ㄒㄧㄥ,singing star / famous singer,
隔壁,ㄍㄜˊ ㄅㄧˋ,next door / neighbor,
革命,ㄍㄜˊ ㄇㄧㄥˋ,revolution / revolutionary (politics),次
個人,ㄍㄜˋ ㄖㄣˊ,individual / personal / oneself,
個子,ㄍㄜˋ ㄗ˙,height / stature / build / size,
個兒,ㄍㄜˋ ㄦ,size / height / stature,
各式各樣,ㄍㄜˋ ㄕˋ ㄍㄜˋ ㄧㄤˋ,(of) all kinds and sorts / various,
各位,ㄍㄜˋ ㄨㄟˋ,"everybody / all (guests, colleagues etc) / all of you",
個,ㄍㄜ˙,individual / this / that / size / classifier for people or objects in general,
給,ㄍㄟˇ,to supply / to provide,
跟,ㄍㄣ,heel / to follow closely / to go with / (of a woman) to marry sb / with / compared with / to / towards / and (joining two nouns),
跟,ㄍㄣ,heel / to follow closely / to go with / (of a woman) to marry sb / with / compared with / to / towards / and (joining two nouns),
根,ㄍㄣ,"root / basis / classifier for long slender objects, e.g. cigarettes, guitar strings / radical (chemistry)",條
根,ㄍㄣ,"root / basis / classifier for long slender objects, e.g. cigarettes, guitar strings / radical (chemistry)",條
根據,ㄍㄣ ㄐㄩˋ,according to / based on / basis / foundation,個
更加,ㄍㄥˋ ㄐㄧㄚ,more (than sth else) / even more,
公尺,ㄍㄨㄥ ㄔˇ,meter (unit of length),
公分,ㄍㄨㄥ ㄈㄣ,centimeter / gram,
公共,ㄍㄨㄥ ㄍㄨㄥˋ,public / common / communal,
公克,ㄍㄨㄥ ㄎㄜˋ,gram,
公路,ㄍㄨㄥ ㄌㄨˋ,highway / road,條
功夫,ㄍㄨㄥ ㄈㄨ˙,skill / art / kung fu / labor / effort,
功能,ㄍㄨㄥ ㄋㄥˊ,function / capability,
工具,ㄍㄨㄥ ㄐㄩˋ,tool / instrument / utensil / means (to achieve a goal etc),
工業,ㄍㄨㄥ ㄧㄝˋ,industry,
工作,ㄍㄨㄥ ㄗㄨㄛˋ,to work / (of a machine) to operate / job / work / task,個 / 份 / 項
恭喜,ㄍㄨㄥ ㄒㄧˇ,congratulations / greetings,
共,ㄍㄨㄥˋ,"common / general / to share / together / total / altogether / abbr. for 共產黨产党[Gong4 chan3 dang3], Communist party",
共同,ㄍㄨㄥˋ ㄊㄨㄥˊ,common / joint / jointly / together / collaborative,
貢獻,ㄍㄨㄥˋ ㄒㄧㄢˋ,to contribute / to dedicate / to devote / contribution,個
貢獻,ㄍㄨㄥˋ ㄒㄧㄢˋ,to contribute / to dedicate / to devote / contribution,個
溝通,ㄍㄡ ㄊㄨㄥ,to join / to connect / to link up / to communicate,
夠,ㄍㄡˋ,enough (sufficient) / enough (too much) / (coll.) (before adj.) really / (coll.) to reach by stretching out,
購買,ㄍㄡˋ ㄇㄞˇ,to purchase / to buy,
姑娘,ㄍㄨ ㄋㄧㄤˊ,girl / young woman / young lady / daughter / paternal aunt (old),個
古,ㄍㄨˇ,ancient / old / paleo-,
古代,ㄍㄨˇ ㄉㄞˋ,ancient times / olden times,
古蹟,ㄍㄨˇ ㄐㄧ,places of historic interest / historical sites,個
古老,ㄍㄨˇ ㄌㄠˇ,ancient / old / age-old,
顧,ㄍㄨˋ,to look after / to take into consideration / to attend to,
故意,ㄍㄨˋ ㄧˋ,deliberately / on purpose,
刮,ㄍㄨㄚ,to scrape / to blow / to shave / to plunder / to extort,
乖,ㄍㄨㄞ,"(of a child) obedient, well-behaved / clever / shrewd / alert / perverse / contrary to reason / irregular / abnormal",
怪,ㄍㄨㄞˋ,bewildering / odd / strange / uncanny / devil / monster / to wonder at / to blame / quite / rather,
怪,ㄍㄨㄞˋ,bewildering / odd / strange / uncanny / devil / monster / to wonder at / to blame / quite / rather,
關,ㄍㄨㄢ,mountain pass / to close / to shut / to turn off / to concern / to involve,
觀察,ㄍㄨㄢ ㄔㄚˊ,to observe / to watch / to survey / to examine / observation / view / perspective,個
觀點,ㄍㄨㄢ ㄉㄧㄢˇ,point of view / viewpoint / standpoint,個
觀念,ㄍㄨㄢ ㄋㄧㄢˋ,notion / thought / concept / sense / views / ideology / general impressions,
觀眾,ㄍㄨㄢ ㄓㄨㄥˋ,spectators / audience / visitors (to an exhibition etc),
管,ㄍㄨㄢˇ,to take care (of) / to control / to manage / to be in charge of / to look after / to run / to care about / tube / pipe / woodwind / classifier for tube-shaped objects / particle similar to 把[ba3] in 管...叫 constructions / writing brush / (coll.) to / towards,
罐,ㄍㄨㄢˋ,can / jar / pot,
廣播,ㄍㄨㄤˇ ㄅㄛˋ,broadcast / broadcasting / to broadcast / (formal) to propagate / to publicize,個
廣播,ㄍㄨㄤˇ ㄅㄛˋ,broadcast / broadcasting / to broadcast / (formal) to propagate / to publicize,個
廣場,ㄍㄨㄤˇ ㄔㄤˇ,public square / plaza,
廣告,ㄍㄨㄤˇ ㄍㄠˋ,to advertise / a commercial / advertisement,項
逛,ㄍㄨㄤˋ,to stroll / to visit,
逛街,ㄍㄨㄤˋ ㄐㄧㄝ,to take a walk / to window-shop / to stroll down the street,
規矩,ㄍㄨㄟ ㄐㄩˇ,lit. compass and set square / fig. established standard / rule / customs / practices / fig. upright and honest / well-behaved,
規模,ㄍㄨㄟ ㄇㄛˊ,scale / scope / extent,個
鬼,ㄍㄨㄟˇ,ghost / demon / terrible / damnable / clever / sly / crafty / (suffix for sb with a certain vice or addiction etc) / one of the 28 constellations,
貴姓,ㄍㄨㄟˋ ㄒㄧㄥˋ,what is your surname? / (May I ask) your surname?,
櫃子,ㄍㄨㄟˋ ㄗ˙,cupboard / cabinet,
國內,ㄍㄨㄛˊ ㄋㄟˋ,domestic / internal (to a country) / civil,
國外,ㄍㄨㄛˊ ㄨㄞˋ,abroad / external (affairs) / overseas / foreign,
國王,ㄍㄨㄛˊ ㄨㄤˊ,king,個
國語,ㄍㄨㄛˊ ㄩˇ,"Chinese language (Mandarin), emphasizing its national nature / Chinese as a primary or secondary school subject / Chinese in the context of the Nationalist Government / Guoyu, book of historical narrative c. 10th-5th century BC",
過去,ㄍㄨㄛˋ ㄑㄩˋ,(verb suffix),
過日子,ㄍㄨㄛˋ ㄖˋ ㄗ˙,to live one's life / to pass one's days / to get along,
嗨,ㄏㄞ,oh alas / hey! / hi! (loanword) / a high (natural or drug-induced) (loanword),
還好,ㄏㄞˊ ㄏㄠˇ,not bad / tolerable / fortunately,
還是,ㄏㄞˊ ㄕˋ,or / still / nevertheless / had better,
還要,ㄏㄞˊ ㄧㄠˋ,also,
海報,ㄏㄞˇ ㄅㄠˋ,poster / playbill / notice,
海灘,ㄏㄞˇ ㄊㄢ,beach,片
海洋,ㄏㄞˇ ㄧㄤˊ,ocean,個
害,ㄏㄞˋ,to do harm to / to cause trouble to / harm / evil / calamity,
害怕,ㄏㄞˋ ㄆㄚˋ,to be afraid / to be scared,
行,ㄏㄤˊ,to walk / to go / to travel / a visit / temporary / makeshift / current / in circulation / to do / to perform / capable / competent / effective / all right / OK! / will do / behavior / conduct / Taiwan pr. [xing4] for the behavior-conduct sense,
航空,ㄏㄤˊ ㄎㄨㄥ,aviation,
好,ㄏㄠˋ,to be fond of / to have a tendency to / to be prone to,
好處,ㄏㄠˇ ㄔㄨˋ,benefit / advantage / gain / profit / also pr. [hao3 chu4],個
好好,ㄏㄠˇ ㄏㄠˇ,well / carefully / nicely / properly,
好好兒,ㄏㄠˇ ㄏㄠˇ ㄦ,in good condition / perfectly good / carefully / well / thoroughly,
好幾,ㄏㄠˇ ㄐㄧˇ,several / quite a few,
好了,ㄏㄠˇ ㄌㄜ˙,好 with emphases,
好些,ㄏㄠˇ ㄒㄧㄝ˙,a good deal of / quite a lot,
和,ㄏㄜˊ,to mix (ingredients) together / to blend / classifier for rinses of clothes / classifier for boilings of medicinal herbs,
盒,ㄏㄜˊ,small box / case,
合,ㄏㄜˊ,to close / to join / to fit / to be equal to / whole / together / round (in battle) / conjunction (astronomy) / 1st note of pentatonic scale / old variant of 盒[he2],
合唱,ㄏㄜˊ ㄔㄤˋ,chorus / to chorus,
合作,ㄏㄜˊ ㄗㄨㄛˋ,to cooperate / to collaborate / to work together / cooperation,個
黑,ㄏㄟ,black / dark / sinister / secret / shady / illegal / to hide (sth) away / to vilify / (loanword) to hack (computing),
恨,ㄏㄣˋ,to hate / to regret,
恨不得,ㄏㄣˋ ㄅㄨˋ ㄉㄜ˙,wishing one could do sth / to hate to be unable / itching to do sth,
紅,ㄏㄨㄥˊ,red / popular / revolutionary / bonus,
紅包,ㄏㄨㄥˊ ㄅㄠ,money wrapped in red as a gift / bonus payment / kickback / bribe,
紅豆,ㄏㄨㄥˊ ㄉㄡˋ,azuki bean / red bean,
厚,ㄏㄡˋ,thick / deep or profound / kind / generous / rich or strong in flavor / to favor / to stress,
後,ㄏㄡˋ,back / behind / rear / afterwards / after / later / post-,
後,ㄏㄡˋ,back / behind / rear / afterwards / after / later / post-,
忽然,ㄏㄨ ㄖㄢˊ,suddenly / all of a sudden,
糊塗,ㄏㄨˊ ㄊㄨˊ,muddled / silly / confused,
互相,ㄏㄨˋ ㄒㄧㄤ,each other / mutually / mutual,
花,ㄏㄨㄚ,"flower / blossom / fancy pattern / florid / to spend (money, time) / (coll.) lecherous / lustful",朵 / 支 / 束 / 把 / 盆 / 簇
花心,ㄏㄨㄚ ㄒㄧㄣ,fickle (in love affairs) / dissipated / unfaithful / heart of a flower (pistil and stamen),
滑雪,ㄏㄨㄚˊ ㄒㄩㄝˇ,to ski / skiing,
畫家,ㄏㄨㄚˋ ㄐㄧㄚ,painter,個
話說回來,ㄏㄨㄚˋ ㄕㄨㄛ ㄏㄨㄟˊ ㄌㄞˊ,"returning to our main topic,... / that said,... / again,... / in this connection / in passing / nevertheless,... / anyhow",
話題,ㄏㄨㄚˋ ㄊㄧˊ,subject (of a talk or conversation) / topic,
化妝品,ㄏㄨㄚˋ ㄓㄨㄤ ㄆㄧㄣˇ,cosmetic / makeup product,
壞處,ㄏㄨㄞˋ ㄔㄨˋ,harm / troubles,個
還,ㄏㄨㄢˊ,to pay back / to return,
環保,ㄏㄨㄢˊ ㄅㄠˇ,environmental protection / environmentally friendly / abbr. for 環境保護境保护[huan2 jing4 bao3 hu4],
黃,ㄏㄨㄤˊ,yellow / pornographic / to fall through,
回,ㄏㄨㄟˊ,to circle / to go back / to turn around / to answer / to return / to revolve / Hui ethnic group (Chinese Muslims) / time / classifier for acts of a play / section or chapter (of a classic book),
回答,ㄏㄨㄟˊ ㄉㄚˊ,to reply / to answer / the answer,個
回想,ㄏㄨㄟˊ ㄒㄧㄤˇ,to recall / to recollect / to think back,
會,ㄏㄨㄟˋ,to balance an account / accountancy / accounting,
會場,ㄏㄨㄟˋ ㄔㄤˇ,meeting place / place where people gather,個
會話,ㄏㄨㄟˋ ㄏㄨㄚˋ,conversation,個 / 次
會議,ㄏㄨㄟˋ ㄧˋ,meeting / conference,場 / 屆
婚禮,ㄏㄨㄣ ㄌㄧˇ,wedding ceremony / wedding,場
婚姻,ㄏㄨㄣ ㄧㄣ,matrimony / wedding / marriage,樁 / 次
混亂,ㄏㄨㄣˋ ㄌㄨㄢˋ,confusion / chaos / disorder,
活,ㄏㄨㄛˊ,to live / alive / living / work / workmanship,
活動,ㄏㄨㄛˊ ㄉㄨㄥˋ,to exercise / to move about / to operate / to use connections (personal influence) / loose / shaky / active / movable / activity / campaign / maneuver / behavior,項 / 個
或許,ㄏㄨㄛˋ ㄒㄩˇ,perhaps / maybe,
基本,ㄐㄧ ㄅㄣˇ,basic / fundamental / main / elementary,
基本,ㄐㄧ ㄅㄣˇ,basic / fundamental / main / elementary,
基礎,ㄐㄧ ㄔㄨˇ,base / foundation / basis / underlying,個
基督教,ㄐㄧ ㄉㄨ ㄐㄧㄠˋ,Christianity / Christian,
激動,ㄐㄧ ㄉㄨㄥˋ,to move emotionally / to stir up (emotions) / to excite,
激烈,ㄐㄧ ㄌㄧㄝˋ,(of competition or fighting) intense / fierce / (of pain) acute / (of an expression of opinion) impassioned / vehement / (of a course of action) drastic / extreme,
積極,ㄐㄧ ㄐㄧˊ,active / energetic / vigorous / positive (outlook) / proactive,
機器,ㄐㄧ ㄑㄧˋ,machine,臺 / 部 / 個
及,ㄐㄧˊ,and / to reach / up to / in time for,
急,ㄐㄧˊ,urgent / pressing / rapid / hurried / worried / to make (sb) anxious,
極,ㄐㄧˊ,"extremely / pole (geography, physics) / utmost / top",
極了,ㄐㄧˊ ㄌㄜ˙,extremely / exceedingly,
擠,ㄐㄧˇ,to crowd in / to cram in / to force others aside / to press / to squeeze / to find (time in one's busy schedule),
擠,ㄐㄧˇ,to crowd in / to cram in / to force others aside / to press / to squeeze / to find (time in one's busy schedule),
既,ㄐㄧˋ,already / since / both... (and...),
記,ㄐㄧˋ,"to record / to note / to memorize / to remember / mark / sign / classifier for blows, kicks, shots",
記錄,ㄐㄧˋ ㄌㄨˋ,to record / record (written account) / note-taker / record (in sports etc),個
記錄,ㄐㄧˋ ㄌㄨˋ,to record / record (written account) / note-taker / record (in sports etc),個
記憶,ㄐㄧˋ ㄧˋ,to remember / to recall / memory,個
季節,ㄐㄧˋ ㄐㄧㄝˊ,time / season / period,個
紀念,ㄐㄧˋ ㄋㄧㄢˋ,to commemorate / to remember,個
紀念,ㄐㄧˋ ㄋㄧㄢˋ,to commemorate / to remember,個
技巧,ㄐㄧˋ ㄑㄧㄠˇ,skill / technique,
繼續,ㄐㄧˋ ㄒㄩˋ,to continue / to proceed with / to go on with,
加,ㄐㄧㄚ,"to add / plus / (used after an adverb such as 不, 大, 稍 etc, and before a disyllabic verb, to indicate that the action of the verb is applied to sth or sb previously mentioned) / to apply (restrictions etc) to (sb) / to give (support, consideration etc) to (sth)",
加強,ㄐㄧㄚ ㄑㄧㄤˊ,to reinforce / to strengthen / to increase,
加入,ㄐㄧㄚ ㄖㄨˋ,to become a member / to join / to mix into / to participate in / to add in,
加上,ㄐㄧㄚ ㄕㄤˋ,plus / to put in / to add / to add on / to add into / in addition / on top of that,
加油,ㄐㄧㄚ ㄧㄡˊ,to add oil / to top up with gas / to refuel / to accelerate / to step on the gas / (fig.) to make an extra effort / to cheer sb on,
家,ㄐㄧㄚ,"home / family / (polite) my (sister, uncle etc) / classifier for families or businesses / refers to the philosophical schools of pre-Han China / noun suffix for a specialist in some activity, such as a musician or revolutionary, corresponding to English -ist, -er, -ary or -ian",個
家鄉,ㄐㄧㄚ ㄒㄧㄤ,hometown / native place,個
家長,ㄐㄧㄚ ㄓㄤˇ,head of a household / family head / patriarch / parent or guardian of a child,
假,ㄐㄧㄚˇ,vacation,
假如,ㄐㄧㄚˇ ㄖㄨˊ,if,
假裝,ㄐㄧㄚˇ ㄓㄨㄤ,to feign / to pretend,
架,ㄐㄧㄚˋ,"to support / frame / rack / framework / classifier for planes, large vehicles, radios etc",
假日,ㄐㄧㄚˋ ㄖˋ,holiday / non-working day,
價值,ㄐㄧㄚˋ ㄓˊ,"value / worth / fig. values (ethical, cultural etc)",個
肩膀,ㄐㄧㄢ ㄅㄤˇ,shoulder,
堅持,ㄐㄧㄢ ㄔˊ,to persevere with / to persist in / to insist on,
堅強,ㄐㄧㄢ ㄑㄧㄤˊ,staunch / strong,
減,ㄐㄧㄢˇ,to lower / to decrease / to reduce / to subtract / to diminish,
減輕,ㄐㄧㄢˇ ㄑㄧㄥ,to lighten / to ease / to alleviate,
減少,ㄐㄧㄢˇ ㄕㄠˇ,to lessen / to decrease / to reduce / to lower,
簡直,ㄐㄧㄢˇ ㄓˊ,simply / at all / practically,
見,ㄐㄧㄢˋ,to appear / also written 現[xian4],
建立,ㄐㄧㄢˋ ㄌㄧˋ,to establish / to set up / to found,
建設,ㄐㄧㄢˋ ㄕㄜˋ,to build / to construct / construction / constructive,
建設,ㄐㄧㄢˋ ㄕㄜˋ,to build / to construct / construction / constructive,
建議,ㄐㄧㄢˋ ㄧˋ,to propose / to suggest / to recommend / proposal / suggestion / recommendation,個 / 點
建議,ㄐㄧㄢˋ ㄧˋ,to propose / to suggest / to recommend / proposal / suggestion / recommendation,個 / 點
將來,ㄐㄧㄤ ㄌㄞˊ,in the future / future / the future,個
講價,ㄐㄧㄤˇ ㄐㄧㄚˋ,to bargain (over price) / to haggle,
講究,ㄐㄧㄤˇ ㄐㄧㄡˋ,to pay particular attention to / carefully selected for quality / tastefully chosen,
獎學金,ㄐㄧㄤˇ ㄒㄩㄝˊ ㄐㄧㄣ,scholarship,筆
降低,ㄐㄧㄤˋ ㄉㄧ,to reduce / to lower / to bring down,
醬油,ㄐㄧㄤˋ ㄧㄡˊ,soy sauce,
交,ㄐㄧㄠ,to hand over / to deliver / to pay (money) / to turn over / to make friends / to intersect (lines) / variant of 跤[jiao1],
交流,ㄐㄧㄠ ㄌㄧㄡˊ,to exchange / exchange / communication / interaction / to have social contact (with sb),
交友,ㄐㄧㄠ ㄧㄡˇ,to make friends,
驕傲,ㄐㄧㄠ ㄠˋ,pride / arrogance / conceited / proud of sth,
郊區,ㄐㄧㄠ ㄑㄩ,suburban district / outskirts / suburbs,個
角度,ㄐㄧㄠˇ ㄉㄨˋ,angle / point of view,
角色,ㄐㄧㄠˇ ㄙㄜˋ,role / character in a novel / persona / also pr. [jiao3 se4],
叫,ㄐㄧㄠˋ,to shout / to call / to order / to ask / to be called / by (indicates agent in the passive mood),
叫,ㄐㄧㄠˋ,to shout / to call / to order / to ask / to be called / by (indicates agent in the passive mood),
較,ㄐㄧㄠˋ,to compare / to dispute / compared to / (before adj.) relatively / comparatively / rather / also pr. [jiao3],
教,ㄐㄧㄠˋ,religion / teaching / to make / to cause / to tell,
教材,ㄐㄧㄠˋ ㄘㄞˊ,teaching material,本
教導,ㄐㄧㄠˋ ㄉㄠˇ,to instruct / to teach / guidance / teaching,
教法,ㄐㄧㄠˋ ㄈㄚˇ,teaching method / teachings / doctrine,
教練,ㄐㄧㄠˋ ㄌㄧㄢˋ,instructor / sports coach / trainer,個 / 位 / 名
教授,ㄐㄧㄠˋ ㄕㄡˋ,professor / to instruct / to lecture on,個 / 位
教訓,ㄐㄧㄠˋ ㄒㄩㄣˋ,lesson / moral / to chide sb / to lecture sb,
教育,ㄐㄧㄠˋ ㄩˋ,to educate / to teach / education,
教育,ㄐㄧㄠˋ ㄩˋ,to educate / to teach / education,
接觸,ㄐㄧㄝ ㄔㄨˋ,to touch / to contact / access / in touch with,
接受,ㄐㄧㄝ ㄕㄡˋ,to accept / to receive,
接著,ㄐㄧㄝ ㄓㄜ˙,to catch and hold on / to continue / to go on to do sth / to follow / to carry on / then / after that / subsequently / to proceed / to ensue / in turn / in one's turn,
結,ㄐㄧㄝˊ,knot / sturdy / bond / to tie / to bind / to check out (of a hotel),
結果,ㄐㄧㄝˊ ㄍㄨㄛˇ,outcome / result / conclusion / in the end / as a result / to kill / to dispatch,
結局,ㄐㄧㄝˊ ㄐㄩˊ,conclusion / ending,
節,ㄐㄧㄝˊ,"festival / holiday / node / joint / section / segment / part / to economize / to save / to abridge / moral integrity / classifier for segments, e.g. lessons, train wagons, biblical verses",個
節日,ㄐㄧㄝˊ ㄖˋ,holiday / festival,個
解決,ㄐㄧㄝˇ ㄐㄩㄝˊ,to settle (a dispute) / to resolve / to solve / to dispose of / to dispatch,
解釋,ㄐㄧㄝˇ ㄕˋ,explanation / to explain / to interpret / to resolve,個
姊妹,ㄐㄧㄝˇ ㄇㄟˋ,"(older and younger) sisters / sister (school, city etc)",
斤,ㄐㄧㄣ,"catty / (PRC) weight equal to 500 g / (Tw) weight equal to 600 g / (HK, Malaysia, Singapore) slightly over 604 g",
金,ㄐㄧㄣ,gold / chemical element Au / generic term for lustrous and ductile metals / money / golden / highly respected / one of the eight categories of ancient musical instruments 八音[ba1 yin1],
金子,ㄐㄧㄣ ㄗ˙,gold,
緊,ㄐㄧㄣˇ,tight / strict / close at hand / near / urgent / tense / hard up / short of money / to tighten,
僅,ㄐㄧㄣˇ,barely / only / merely,
儘管,ㄐㄧㄣˇ ㄍㄨㄢˇ,"despite / although / even though / in spite of / unhesitatingly / do not hesitate (to ask, complain etc) / (go ahead and do it) without hesitating",
盡,ㄐㄧㄣˋ,to use up / to exhaust / to end / to finish / to the utmost / exhausted / finished / to the limit (of sth) / all / entirely,
進,ㄐㄧㄣˋ,to go forward / to advance / to go in / to enter / to put in / to submit / to take in / to admit / (math.) base of a number system / classifier for sections in a building or residential compound,
進行,ㄐㄧㄣˋ ㄒㄧㄥˊ,to advance / to conduct / underway / in progress / to do / to carry out / to carry on / to execute,
進一步,ㄐㄧㄣˋ ㄧ ㄅㄨˋ,one step further / to move forward a step / further onwards,
經,ㄐㄧㄥ,classics / sacred book / scripture / to pass through / to undergo / to bear / to endure / warp (textile) / longitude / menstruation / channel (TCM) / abbr. for economics 經濟济[jing1 ji4],
經費,ㄐㄧㄥ ㄈㄟˋ,funds / expenditure,筆
