詞彙,注音,英譯,量詞
湯,ㄊㄤ,soup / hot or boiling water / decoction of medicinal herbs / water in which sth has been boiled,
包子,ㄅㄠ ㄗ˙,steamed stuffed bun,個
蛋糕,ㄉㄢˋ ㄍㄠ,cake,塊 / 個
麵包,ㄇㄧㄢˋ ㄅㄠ,bread,片 / 袋 / 塊
水果,ㄕㄨㄟˇ ㄍㄨㄛˇ,fruit,個
香蕉,ㄒㄧㄤ ㄐㄧㄠ,banana,枝 / 根 / 個 / 把
食物,ㄕˊ ㄨˋ,food,種
飲料,ㄧㄣˇ ㄌㄧㄠˋ,drink / beverage,
果汁,ㄍㄨㄛˇ ㄓ,fruit juice,
杯子,ㄅㄟ ㄗ˙,cup / glass,個 / 隻
甜,ㄊㄧㄢˊ,sweet,
菜單,ㄘㄞˋ ㄉㄢ,menu,份 / 張
巧克力,ㄑㄧㄠˇ ㄎㄜˋ ㄌㄧˋ,chocolate (loanword),塊
碗,ㄨㄢˇ,bowl / cup,隻 / 個
盤子,ㄆㄢˊ ㄗ˙,tray / plate / dish,個
片,ㄆㄧㄢˋ,"thin piece / flake / a slice / film / TV play / to slice / to carve thin / partial / incomplete / one-sided / classifier for slices, tablets, tract of land, area of water / classifier for CDs, movies, DVDs etc / used with numeral 一[yi1]: classifier for scenario, scene, feeling, atmosphere, sound etc / Kangxi radical 91",
一半,ㄧ ㄅㄢˋ,half,
一半兒,ㄧ ㄅㄢˋ ㄦ,half,
過,ㄍㄨㄛˋ,(experienced action marker),
一定,ㄧ ㄉㄧㄥˋ,surely / certainly / necessarily / fixed / a certain (extent etc) / given / particular / must,
