詞彙,注音,英譯,量詞
鼻孔,ㄅㄧˊ ㄎㄨㄥˇ,nostril,隻
鼻涕,ㄅㄧˊ ㄊㄧˋ,nasal mucus / snivel,
筆錄,ㄅㄧˇ ㄌㄨˋ,to put down in writing / to take down notes / transcript / record,
筆友,ㄅㄧˇ ㄧㄡˇ,pen pal,
比率,ㄅㄧˇ ㄌㄩˋ,ratio / rate / percentage,
比擬,ㄅㄧˇ ㄋㄧˇ,to compare / to draw a parallel / to match / analogy / metaphor / comparison,
比喻,ㄅㄧˇ ㄩˋ,to compare / to liken to / metaphor / analogy / figure of speech / figuratively,
比重,ㄅㄧˇ ㄓㄨㄥˋ,proportion / specific gravity,
必備,ㄅㄧˋ ㄅㄟˋ,essential,
必定,ㄅㄧˋ ㄉㄧㄥˋ,to be bound to / to be sure to,
必然,ㄅㄧˋ ㄖㄢˊ,inevitable / certain / necessity,
閉幕,ㄅㄧˋ ㄇㄨˋ,the curtain falls / lower the curtain / to come to an end (of a meeting),
閉塞,ㄅㄧˋ ㄙㄜˋ,to stop up / to close up / hard to get to / out of the way / inaccessible / unenlightened / blocking,
避難,ㄅㄧˋ ㄋㄢˋ,refuge / to take refuge / to seek asylum (political etc),
避孕,ㄅㄧˋ ㄩㄣˋ,contraception,
畢生,ㄅㄧˋ ㄕㄥ,all one's life / lifetime,
幣值,ㄅㄧˋ ㄓˊ,value of a currency,
憋,ㄅㄧㄝ,to choke / to stifle / to restrain / to hold back / to hold in (urine) / to hold (one's breath),
別,ㄅㄧㄝˊ,to leave / to depart / to separate / to distinguish / to classify / other / another / don't ...! / to pin / to stick (sth) in,
別墅,ㄅㄧㄝˊ ㄕㄨˋ,villa,幢 / 座
兵,ㄅㄧㄥ,soldiers / a force / an army / weapons / arms / military / warlike,個
賓館,ㄅㄧㄣ ㄍㄨㄢˇ,guesthouse / lodge / hotel,個 / 家
柄,ㄅㄧㄥˇ,"handle or shaft (of an axe etc) / (of a flower, leaf or fruit) stem / sth that affords an advantage to an opponent / classifier for knives or blades",
並列,ㄅㄧㄥˋ ㄌㄧㄝˋ,to stand side by side / to be juxtaposed,
並重,ㄅㄧㄥˋ ㄓㄨㄥˋ,to lay equal stress on / to pay equal attention to,
併發,ㄅㄧㄥˋ ㄈㄚ,to be complicated by / to erupt simultaneously,
病床,ㄅㄧㄥˋ ㄔㄨㄤˊ,hospital bed / sickbed,
病菌,ㄅㄧㄥˋ ㄐㄩㄣˋ,harmful bacteria / pathogenic bacteria / germs,
病情,ㄅㄧㄥˋ ㄑㄧㄥˊ,state of an illness / patient's condition,
撥,ㄅㄛ,"to push aside with the hand, foot, a stick etc / to dial / to allocate / to set aside (money) / to poke (the fire) / to pluck (a string instrument) / to turn round / classifier: group, batch",
波,ㄅㄛ,wave / ripple / storm / surge,
波及,ㄅㄛ ㄐㄧˊ,to spread to / to involve / to affect,
波浪,ㄅㄛ ㄌㄤˋ,wave,
剝,ㄅㄛ,to peel / to skin / to flay / to shuck,
剝削,ㄅㄛ ㄒㄩㄝˋ,to exploit / exploitation,
搏鬥,ㄅㄛˊ ㄉㄡˋ,to wrestle / to fight / to struggle,
播出,ㄅㄛˋ ㄔㄨ,to broadcast / to air (a TV program etc),
補給,ㄅㄨˇ ㄐㄧˇ,supply / replenishment / to replenish,
補救,ㄅㄨˇ ㄐㄧㄡˋ,to remedy,
補習班,ㄅㄨˇ ㄒㄧˊ ㄅㄢ,cram class / cram school / evening classes,
哺乳動物,ㄅㄨˇ ㄖㄨˇ ㄉㄨㄥˋ ㄨˋ,mammal,
不便,ㄅㄨˋ ㄅㄧㄢˋ,inconvenient / inappropriate / unsuitable / short of cash,
不得,ㄅㄨˋ ㄉㄜˊ,must not / may not / not to be allowed / cannot,
不等,ㄅㄨˋ ㄉㄥˇ,unequal / varied,
不動產,ㄅㄨˋ ㄉㄨㄥˋ ㄔㄢˇ,real estate / immovable property / immovables,
不法,ㄅㄨˋ ㄈㄚˇ,lawless / illegal / unlawful,
不凡,ㄅㄨˋ ㄈㄢˊ,out of the ordinary / out of the common run,
不妨,ㄅㄨˋ ㄈㄤˊ,there is no harm in / might as well,
不公,ㄅㄨˋ ㄍㄨㄥ,unjust / unfair,
不及,ㄅㄨˋ ㄐㄧˊ,to fall short of / not as good as / too late,
不禁,ㄅㄨˋ ㄐㄧㄣ,can't help (doing sth) / can't refrain from,
不堪,ㄅㄨˋ ㄎㄢ,cannot bear / cannot stand / utterly / extremely,
不力,ㄅㄨˋ ㄌㄧˋ,not to do one's best / not to exert oneself,
不料,ㄅㄨˋ ㄌㄧㄠˋ,unexpectedly / to one's surprise,
不免,ㄅㄨˋ ㄇㄧㄢˇ,inevitably,
不容,ㄅㄨˋ ㄖㄨㄥˊ,must not / cannot / to not allow / cannot tolerate,
不時,ㄅㄨˋ ㄕˊ,from time to time / now and then / occasionally / frequently,
不惜,ㄅㄨˋ ㄒㄧˊ,not stint / not spare / not hesitate (to do sth) / not scruple (to do sth),
不下,ㄅㄨˋ ㄒㄧㄚˋ,"to be not less than (a certain quantity, amount etc)",
不肖,ㄅㄨˋ ㄒㄧㄠˋ,(literary) unlike one's parents / degenerate / unworthy,
不懈,ㄅㄨˋ ㄒㄧㄝˋ,untiring / unremitting / indefatigable,
不再,ㄅㄨˋ ㄗㄞˋ,no more / no longer,
不致,ㄅㄨˋ ㄓˋ,not in such a way as to / not likely to,
不知不覺,ㄅㄨˋ ㄓ ㄅㄨˋ ㄐㄩㄝˊ,unconsciously / unwittingly,
不至於,ㄅㄨˋ ㄓˋ ㄩˊ,unlikely to go so far as to / not as bad as,
不致於,ㄅㄨˋ ㄓˋ ㄩˊ,unlikely to go so far as to / not as bad as,
部落,ㄅㄨˋ ㄌㄨㄛˋ,tribe,
部署,ㄅㄨˋ ㄕㄨˋ,to dispose / to deploy / deployment,
步調,ㄅㄨˋ ㄉㄧㄠˋ,gait / marching order / step / pace,
步驟,ㄅㄨˋ ㄗㄡˋ,procedure / step,
猜測,ㄘㄞ ㄘㄜˋ,to guess / to conjecture / to surmise,
猜忌,ㄘㄞ ㄐㄧˋ,to be suspicious and jealous of,
猜想,ㄘㄞ ㄒㄧㄤˇ,to guess / to conjecture / to suppose / to suspect,
裁縫,ㄘㄞˊ ㄈㄥˊ,tailor / dressmaker,
裁減,ㄘㄞˊ ㄐㄧㄢˇ,to reduce / to lessen / to cut down,
財團,ㄘㄞˊ ㄊㄨㄢˊ,financial group,
財政,ㄘㄞˊ ㄓㄥˋ,finances (public) / financial,
才智,ㄘㄞˊ ㄓˋ,ability and wisdom,
採訪,ㄘㄞˇ ㄈㄤˇ,to interview / to gather news / to hunt for and collect / to cover,
採光,ㄘㄞˇ ㄍㄨㄤ,lighting / day lighting,
採納,ㄘㄞˇ ㄋㄚˋ,to accept / to adopt,
採取,ㄘㄞˇ ㄑㄩˇ,"to adopt or carry out (measures, policies, course of action) / to take",
彩繪,ㄘㄞˇ ㄏㄨㄟˋ,painted / colored painted-on designs,
餐具,ㄘㄢ ㄐㄩˋ,tableware / dinner service,
參謀,ㄘㄢ ㄇㄡˊ,staff officer / to give advice,
殘暴,ㄘㄢˊ ㄅㄠˋ,brutal / vicious / ruthless,
殘酷,ㄘㄢˊ ㄎㄨˋ,cruel / cruelty,
殘殺,ㄘㄢˊ ㄕㄚ,to massacre / to slaughter,
慘重,ㄘㄢˇ ㄓㄨㄥˋ,disastrous,
燦爛,ㄘㄢˋ ㄌㄢˋ,to glitter / brilliant / splendid,
蒼白,ㄘㄤ ㄅㄞˊ,pale / wan,
蒼蠅,ㄘㄤ ㄧㄥˊ,housefly,隻
操縱,ㄘㄠ ㄗㄨㄥˋ,to operate / to control / to rig / to manipulate,
草案,ㄘㄠˇ ㄢˋ,"draft (legislation, proposal etc)",
草叢,ㄘㄠˇ ㄘㄨㄥˊ,underbrush,
