詞彙,注音,英譯,量詞
名號,ㄇㄧㄥˊ ㄏㄠˋ,name / good reputation / title,
名氣,ㄇㄧㄥˊ ㄑㄧˋ,reputation / fame,
名勝,ㄇㄧㄥˊ ㄕㄥˋ,a place famous for its scenery or historical relics / scenic spot,處
名聲,ㄇㄧㄥˊ ㄕㄥ,reputation,
名堂,ㄇㄧㄥˊ ㄊㄤˊ,item (in a program of entertainments) / trick (act of mischief) / worthwhile result / accomplishment / sth significant but not immediately apparent / sth more than meets the eye,
名下,ㄇㄧㄥˊ ㄒㄧㄚˋ,under sb's name,
冥想,ㄇㄧㄥˊ ㄒㄧㄤˇ,to meditate / meditation,
命名,ㄇㄧㄥˋ ㄇㄧㄥˊ,to give a name to / to dub / to christen / to designate / named after / naming,
命中,ㄇㄧㄥˋ ㄓㄨㄥˋ,to hit (a target),
綿延,ㄇㄧㄢˊ ㄧㄢˊ,"continuous (esp. of mountain ranges) / to stretch long and unbroken / a continuous link / sostenuto (sustained, in music)",
勉強,ㄇㄧㄢˇ ㄑㄧㄤˇ,to do with difficulty / to force sb to do sth / reluctant / barely enough,
免稅,ㄇㄧㄢˇ ㄕㄨㄟˋ,"not liable to taxation (of monastery, imperial family etc) / tax free / duty free (shop)",
免疫,ㄇㄧㄢˇ ㄧˋ,immunity (to disease),
面孔,ㄇㄧㄢˋ ㄎㄨㄥˇ,face,
面談,ㄇㄧㄢˋ ㄊㄢˊ,face-to-face meeting / an interview,
描繪,ㄇㄧㄠˊ ㄏㄨㄟˋ,to describe / to portray,
描述,ㄇㄧㄠˊ ㄕㄨˋ,to describe / description,
民俗,ㄇㄧㄣˊ ㄙㄨˊ,popular custom,
民營,ㄇㄧㄣˊ ㄧㄥˊ,"privately run (i.e. by a company, not the state)",
敏感,ㄇㄧㄣˇ ㄍㄢˇ,sensitive / susceptible,
敏捷,ㄇㄧㄣˇ ㄐㄧㄝˊ,nimble / quick / shrewd,
滅,ㄇㄧㄝˋ,to extinguish or put out / to go out (of a fire etc) / to exterminate or wipe out / to drown,
模範,ㄇㄛˊ ㄈㄢˋ,model / fine example,
模具,ㄇㄛˊ ㄐㄩˋ,mold / matrix / pattern or die / Taiwan pr. [mo2 ju4],
模式,ㄇㄛˊ ㄕˋ,mode / method / pattern,
魔術,ㄇㄛˊ ㄕㄨˋ,magic,
末,ㄇㄛˋ,tip / end / final stage / latter part / inessential detail / powder / dust / opera role of old man,
末期,ㄇㄛˋ ㄑㄧˊ,end (of a period) / last part / final phase,
墨,ㄇㄛˋ,ink stick / China ink / corporal punishment consisting of tattooing characters on the victim's forehead,塊
沒落,ㄇㄛˋ ㄌㄨㄛˋ,to decline / to wane,
沒收,ㄇㄛˋ ㄕㄡ,to confiscate / to seize,
默默,ㄇㄛˋ ㄇㄛˋ,in silence / not speaking,
默契,ㄇㄛˋ ㄑㄧˋ,tacit understanding / mutual understanding / rapport / connected at a deep level with each other / (of team members) well coordinated / tight,
漠視,ㄇㄛˋ ㄕˋ,to ignore / to neglect / to treat with contempt,
謀生,ㄇㄡˊ ㄕㄥ,to seek one's livelihood / to work to support oneself / to earn a living,
某些,ㄇㄡˇ ㄒㄧㄝ,some / certain (things),
畝,ㄇㄨˇ,classifier for fields / unit of area equal to one fifteenth of a hectare,
母語,ㄇㄨˇ ㄩˇ,native language / mother tongue / (linguistics) parent language,
木材,ㄇㄨˋ ㄘㄞˊ,wood,
木刻,ㄇㄨˋ ㄎㄜˋ,woodcut,
木料,ㄇㄨˋ ㄌㄧㄠˋ,lumber / timber,
木偶,ㄇㄨˋ ㄡˇ,puppet,
沐浴,ㄇㄨˋ ㄩˋ,to take a bath / to bathe / to immerse,
目睹,ㄇㄨˋ ㄉㄨˇ,to witness / to see at first hand / to see with one's own eyes,
目光,ㄇㄨˋ ㄍㄨㄤ,sight / vision / view / gaze / look,
目擊,ㄇㄨˋ ㄐㄧˊ,to see with one's own eyes / to witness,
牧場,ㄇㄨˋ ㄔㄤˇ,pasture / grazing land / ranch,
幕,ㄇㄨˋ,curtain or screen / canopy or tent / headquarters of a general / act (of a play),
募集,ㄇㄨˋ ㄐㄧˊ,to raise / to collect,
拿,ㄋㄚˊ,to hold / to seize / to catch / to apprehend / to take / (used in the same way as 把[ba3]: to mark the following noun as a direct object),
納悶,ㄋㄚˋ ㄇㄣˋ,puzzled / bewildered,
納入,ㄋㄚˋ ㄖㄨˋ,to bring into / to channel into / to integrate into / to incorporate,
納稅,ㄋㄚˋ ㄕㄨㄟˋ,to pay taxes,
乃,ㄋㄞˇ,to be / thus / so / therefore / then / only / thereupon,
耐,ㄋㄞˋ,capable of enduring / able to tolerate / patient / durable / hardy / resistant,
耐力,ㄋㄞˋ ㄌㄧˋ,endurance,
男方,ㄋㄢˊ ㄈㄤ,the bridegroom's side / of the bridegroom's family,
南極洲,ㄋㄢˊ ㄐㄧˊ ㄓㄡ,Antarctica,
難度,ㄋㄢˊ ㄉㄨˋ,trouble / problem,
難關,ㄋㄢˊ ㄍㄨㄢ,difficulty / crisis,
難免,ㄋㄢˊ ㄇㄧㄢˇ,hard to avoid / difficult to escape from / will inevitably,
難題,ㄋㄢˊ ㄊㄧˊ,difficult problem,
難民,ㄋㄢˋ ㄇㄧㄣˊ,refugee,
囊括,ㄋㄤˊ ㄍㄨㄚ,to include / to embrace / to bring together,
腦海,ㄋㄠˇ ㄏㄞˇ,the mind / the brain,
腦力,ㄋㄠˇ ㄌㄧˋ,mental capacity,
內閣,ㄋㄟˋ ㄍㄜˊ,(government) cabinet,
內涵,ㄋㄟˋ ㄏㄢˊ,meaningful content / implication / connotation (semantics) / inner qualities (of a person),
內銷,ㄋㄟˋ ㄒㄧㄠ,to sell in the domestic market / domestic market,
內在,ㄋㄟˋ ㄗㄞˋ,inner / internal / intrinsic / innate,
內戰,ㄋㄟˋ ㄓㄢˋ,civil war,
內政,ㄋㄟˋ ㄓㄥˋ,internal affairs (of a country),
能量,ㄋㄥˊ ㄌㄧㄤˋ,energy / capabilities,
擬,ㄋㄧˇ,to plan to / to draft (a plan) / to imitate / to assess / to compare / pseudo-,
擬定,ㄋㄧˇ ㄉㄧㄥˋ,to draw up / to draft / to formulate,
膩,ㄋㄧˋ,greasy / soft / unctuous / intimate / tired of,
念頭,ㄋㄧㄢˋ ㄊㄡˊ,thought / idea / intention,
娘,ㄋㄧㄤˊ,mother / young lady / (coll.) effeminate,
娘家,ㄋㄧㄤˊ ㄐㄧㄚ,married woman's parents' home,
凝固,ㄋㄧㄥˊ ㄍㄨˋ,to freeze / to solidify / to congeal / fig. with rapt attention,
凝結,ㄋㄧㄥˊ ㄐㄧㄝˊ,to condense / to solidify / to coagulate / clot (of blood),
凝聚,ㄋㄧㄥˊ ㄐㄩˋ,to condense / to coagulate / coacervation (i.e. form tiny droplets) / aggregation / coherent,
凝視,ㄋㄧㄥˊ ㄕˋ,to gaze at / to fix one's eyes on,
扭轉,ㄋㄧㄡˇ ㄓㄨㄢˇ,to reverse / to turn around (an undesirable situation) / (mechanics) torsion,
農具,ㄋㄨㄥˊ ㄐㄩˋ,farm implements / farm tools,
農田,ㄋㄨㄥˊ ㄊㄧㄢˊ,farmland / cultivated land,
農作物,ㄋㄨㄥˊ ㄗㄨㄛˋ ㄨˋ,(farm) crops,
弄錯,ㄋㄨㄥˋ ㄘㄨㄛˋ,to err / to get sth wrong / to miscalculate / to misunderstand,
奴隸,ㄋㄨˊ ㄌㄧˋ,slave,
努力,ㄋㄨˇ ㄌㄧˋ,great effort / to strive / to try hard,
怒氣,ㄋㄨˋ ㄑㄧˋ,anger,
暖,ㄋㄨㄢˇ,warm / to warm,
挪,ㄋㄨㄛˊ,to shift / to move,
懦弱,ㄋㄨㄛˋ ㄖㄨㄛˋ,cowardly / weak,
諾言,ㄋㄨㄛˋ ㄧㄢˊ,promise,
女方,ㄋㄩˇ ㄈㄤ,the bride's side (of a wedding) / of the bride's party,
虐待,ㄋㄩㄝˋ ㄉㄞˋ,to mistreat / to maltreat / to abuse / mistreatment / maltreatment,
歐洲,ㄡ ㄓㄡ,Europe / abbr. for 歐羅巴洲罗巴洲[Ou1 luo2 ba1 Zhou1],
偶而,ㄡˇ ㄦˊ,occasionally / once in a while,
偶爾,ㄡˇ ㄦˇ,occasionally / once in a while / sometimes,
趴,ㄆㄚ,"to lie on one's stomach / to lean forward, resting one's upper body (on a desktop etc) / (Tw) percent",
拍馬屁,ㄆㄞ ㄇㄚˇ ㄆㄧˋ,to flatter / to fawn on / to butter sb up / toadying / boot-licking,
拍攝,ㄆㄞ ㄕㄜˋ,to film / to shoot (a picture),
拍照,ㄆㄞ ㄓㄠˋ,to take a picture,
拍子,ㄆㄞ ㄗ˙,beat (music) / paddle-shaped object (flyswatter etc) / racket (sports),
排除,ㄆㄞˊ ㄔㄨˊ,to eliminate / to remove / to exclude / to rule out,
排擠,ㄆㄞˊ ㄐㄧˇ,to crowd out / to push aside / to supplant,
排名,ㄆㄞˊ ㄇㄧㄥˊ,"to rank (1st, 2nd etc) / ranking",
派出所,ㄆㄞˋ ㄔㄨ ㄙㄨㄛˇ,local police station,
派對,ㄆㄞˋ ㄉㄨㄟˋ,party (loanword),
派遣,ㄆㄞˋ ㄑㄧㄢˇ,to send (on a mission) / to dispatch,
派頭,ㄆㄞˋ ㄊㄡˊ,manner / style / panache,
判,ㄆㄢˋ,to judge / to sentence / to discriminate / to discern / obviously (different),
盼,ㄆㄢˋ,to hope for / to long for / to expect,
旁人,ㄆㄤˊ ㄖㄣˊ,other people / bystanders / onlookers / outsiders,
旁聽,ㄆㄤˊ ㄊㄧㄥ,"to visit (a meeting, class, trial etc)",
拋,ㄆㄠ,to throw / to toss / to fling / to cast / to abandon,
拋棄,ㄆㄠ ㄑㄧˋ,to abandon / to discard / to renounce / to dump (sb),
跑道,ㄆㄠˇ ㄉㄠˋ,athletic track / track / runway (i.e. airstrip),
泡,ㄆㄠˋ,bubble / foam / blister (i.e. skin bubble) / to soak / to steep / to infuse / to dawdle / to shilly-shally / to hang about / to pick up (a girl) / to get off with (a sexual partner) / classifier for occurrences of an action / classifier for number of infusions,
泡沫,ㄆㄠˋ ㄇㄛˋ,foam / (soap) bubble / (economic) bubble,
陪伴,ㄆㄟˊ ㄅㄢˋ,to accompany,
培訓,ㄆㄟˊ ㄒㄩㄣˋ,to cultivate / to train / to groom / training,
培育,ㄆㄟˊ ㄩˋ,to train / to breed,
配,ㄆㄟˋ,to join / to fit / to mate / to mix / to match / to deserve / to make up (a prescription) / to allocate,
配,ㄆㄟˋ,to join / to fit / to mate / to mix / to match / to deserve / to make up (a prescription) / to allocate,
配給,ㄆㄟˋ ㄐㄧˇ,to ration / to allocate,
配音,ㄆㄟˋ ㄧㄣ,dubbing (filmmaking),
噴漆,ㄆㄣ ㄑㄧ,to spray paint or lacquer / lacquer,
盆地,ㄆㄣˊ ㄉㄧˋ,(geography) basin / depression,
蓬勃,ㄆㄥˊ ㄅㄛˊ,vigorous / flourishing / full of vitality,
捧場,ㄆㄥˇ ㄔㄤˇ,to cheer on (originally esp. as paid stooge) / to root for sb / to sing sb's praises / to flatter,
批發,ㄆㄧ ㄈㄚ,wholesale / bulk trade / distribution,
批准,ㄆㄧ ㄓㄨㄣˇ,to approve / to ratify,
疲憊,ㄆㄧˊ ㄅㄟˋ,beaten / exhausted / tired,
匹,ㄆㄧˇ,"classifier for horses, mules etc / Taiwan pr. [pi1] / ordinary person / classifier for cloth: bolt / horsepower",
譬如,ㄆㄧˋ ㄖㄨˊ,for example / for instance / such as,
偏差,ㄆㄧㄢ ㄔㄚ,bias / deviation,
便宜,ㄆㄧㄢˊ ㄧˊ,cheap / inexpensive / small advantages / to let sb off lightly,
便宜,ㄆㄧㄢˊ ㄧˊ,cheap / inexpensive / small advantages / to let sb off lightly,
片,ㄆㄧㄢˋ,"thin piece / flake / a slice / film / TV play / to slice / to carve thin / partial / incomplete / one-sided / classifier for slices, tablets, tract of land, area of water / classifier for CDs, movies, DVDs etc / used with numeral 一[yi1]: classifier for scenario, scene, feeling, atmosphere, sound etc / Kangxi radical 91",
片刻,ㄆㄧㄢˋ ㄎㄜˋ,short period of time / a moment,
票,ㄆㄧㄠˋ,"ticket / ballot / banknote / person held for ransom / amateur performance of Chinese opera / classifier for groups, batches, business transactions",張
拼,ㄆㄧㄣ,to piece together / to join together / to stake all / adventurous / at the risk of one's life / to spell,
貧苦,ㄆㄧㄣˊ ㄎㄨˇ,poverty-stricken / poor,
貧民,ㄆㄧㄣˊ ㄇㄧㄣˊ,poor people,
品味,ㄆㄧㄣˇ ㄨㄟˋ,"to sample / to taste / to appreciate / one's taste (i.e. in music, literature, fashion, food and drink etc) / good taste",
品種,ㄆㄧㄣˇ ㄓㄨㄥˇ,breed / variety,個
乒乓球,ㄆㄧㄥ ㄆㄤ ㄑㄧㄡˊ,table tennis / ping-pong / table tennis ball,個
桌球,ㄓㄨㄛ ㄑㄧㄡˊ,"table tennis / table tennis ball (Tw) / billiards / pool / snooker (HK, Singapore, Malaysia)",
平凡,ㄆㄧㄥˊ ㄈㄢˊ,commonplace / ordinary / mediocre,
平面,ㄆㄧㄥˊ ㄇㄧㄢˋ,plane (flat surface) / print media,
平穩,ㄆㄧㄥˊ ㄨㄣˇ,smooth / steady,
平行,ㄆㄧㄥˊ ㄒㄧㄥˊ,parallel / of equal rank / simultaneous,
評估,ㄆㄧㄥˊ ㄍㄨ,to evaluate / to assess / assessment / evaluation,
評價,ㄆㄧㄥˊ ㄐㄧㄚˋ,to evaluate / to assess,
評論,ㄆㄧㄥˊ ㄌㄨㄣˋ,to comment on / to discuss / comment / commentary,篇
潑,ㄆㄛ,to splash / to spill / rough and coarse / brutish,
婆家,ㄆㄛˊ ㄐㄧㄚ,husband's family,
破案,ㄆㄛˋ ㄢˋ,to solve a case / shabby old table,
破產,ㄆㄛˋ ㄔㄢˇ,to go bankrupt / to become impoverished / bankruptcy,
破除,ㄆㄛˋ ㄔㄨˊ,to eliminate / to do away with / to get rid of,
破獲,ㄆㄛˋ ㄏㄨㄛˋ,to uncover (a criminal plot) / to break open and capture,
破例,ㄆㄛˋ ㄌㄧˋ,to make an exception,
破碎,ㄆㄛˋ ㄙㄨㄟˋ,to smash to pieces / to shatter,
迫害,ㄆㄛˋ ㄏㄞˋ,to persecute / persecution,
魄力,ㄆㄛˋ ㄌㄧˋ,courage / daring / boldness / resolution / drive,
樸素,ㄆㄨˊ ㄙㄨˋ,plain and simple / unadorned / simple living / not frivolous,
曝光,ㄆㄨˋ ㄍㄨㄤ,to expose (photography) / (fig.) to expose (a scandal) / (advertising) exposure / Taiwan pr. [pu4 guang1],
暴露,ㄆㄨˋ ㄌㄨˋ,to expose / to reveal / to lay bare / also pr. [pu4 lu4],
漆,ㄑㄧ,"paint / lacquer / to paint (furniture, walls etc)",道
淒涼,ㄑㄧ ㄌㄧㄤˊ,desolate (place),
欺侮,ㄑㄧ ㄨˇ,to bully,
奇觀,ㄑㄧˊ ㄍㄨㄢ,spectacle / impressive sight,
奇蹟,ㄑㄧˊ ㄐㄧ,miracle,
奇妙,ㄑㄧˊ ㄇㄧㄠˋ,fantastic / wonderful,
奇異,ㄑㄧˊ ㄧˋ,fantastic / bizarre / odd / exotic / astonished,
期待,ㄑㄧˊ ㄉㄞˋ,to look forward to / to await / expectation,
期貨,ㄑㄧˊ ㄏㄨㄛˋ,"abbr. for 期貨合約货合约[qi1 huo4 he2 yue1], futures contract (finance)",
期望,ㄑㄧˊ ㄨㄤˋ,to have expectations / to earnestly hope / expectation / hope,
旗幟,ㄑㄧˊ ㄓˋ,ensign / flag,
乞丐,ㄑㄧˇ ㄍㄞˋ,beggar,
啟,ㄑㄧˇ,to open / to start / to initiate / to enlighten or awaken / to state / to inform,
啟發,ㄑㄧˇ ㄈㄚ,to enlighten / to explain (a text etc) / to stimulate (a mental attitude) / enlightenment / revelation / motivation,
啟示,ㄑㄧˇ ㄕˋ,to reveal / to enlighten / enlightenment / revelation / illumination / moral (of a story etc) / lesson,
啟事,ㄑㄧˇ ㄕˋ,"announcement (written, on billboard, letter, newspaper or website) / to post information / a notice",
起步,ㄑㄧˇ ㄅㄨˋ,to set out / to set in motion / the start (of some activity),
起伏,ㄑㄧˇ ㄈㄨˊ,to move up and down / to undulate / ups and downs,
起碼,ㄑㄧˇ ㄇㄚˇ,at the minimum / at the very least,
起源,ㄑㄧˇ ㄩㄢˊ,origin / to originate / to come from,
氣概,ㄑㄧˋ ㄍㄞˋ,lofty quality / mettle / spirit,
氣管,ㄑㄧˋ ㄍㄨㄢˇ,windpipe / trachea / respiratory tract / air duct / gas pipe,
氣派,ㄑㄧˋ ㄆㄞˋ,impressive / stylish / magnificent / imposing manner / dignified air,
氣勢,ㄑㄧˋ ㄕˋ,imposing manner / loftiness / grandeur / energetic looks / vigor,
氣體,ㄑㄧˋ ㄊㄧˇ,gas (i.e. gaseous substance),
氣壓,ㄑㄧˋ ㄧㄚ,atmospheric pressure / barometric pressure,
契機,ㄑㄧˋ ㄐㄧ,opportunity / turning point / juncture,
棄權,ㄑㄧˋ ㄑㄩㄢˊ,to abstain from voting / to forfeit / to waive one's right to vote / to abdicate,
恰當,ㄑㄧㄚˋ ㄉㄤˋ,appropriate / suitable,
恰好,ㄑㄧㄚˋ ㄏㄠˇ,"as it turns out / by lucky coincidence / (of number, time, size etc) just right",
恰恰,ㄑㄧㄚˋ ㄑㄧㄚˋ,exactly / just / precisely,
洽商,ㄑㄧㄚˋ ㄕㄤ,to negotiate / to talk over,
洽談,ㄑㄧㄚˋ ㄊㄢˊ,to discuss,
鉛,ㄑㄧㄢ,lead (chemistry),
牽連,ㄑㄧㄢ ㄌㄧㄢˊ,to implicate / implicated / to link together,
簽署,ㄑㄧㄢ ㄕㄨˋ,to sign (an agreement),
千萬,ㄑㄧㄢ ㄨㄢˋ,ten million / countless / many / one must by all means,
謙遜,ㄑㄧㄢ ㄒㄩㄣˋ,humble / modest / unpretentious / modesty,
前輩,ㄑㄧㄢˊ ㄅㄟˋ,senior / older generation / precursor,
前程,ㄑㄧㄢˊ ㄔㄥˊ,future (career etc) prospects,
前後,ㄑㄧㄢˊ ㄏㄡˋ,around / from beginning to end / all around / front and rear,
前景,ㄑㄧㄢˊ ㄐㄧㄥˇ,foreground / vista / (future) prospects / perspective,
前科,ㄑㄧㄢˊ ㄎㄜ,criminal record / previous convictions,
前提,ㄑㄧㄢˊ ㄊㄧˊ,premise / precondition / prerequisite,
潛藏,ㄑㄧㄢˊ ㄘㄤˊ,hidden beneath the surface / buried and concealed,
潛力,ㄑㄧㄢˊ ㄌㄧˋ,potential / capacity,
虔誠,ㄑㄧㄢˊ ㄔㄥˊ,pious / devout / sincere,
淺薄,ㄑㄧㄢˇ ㄅㄛˊ,superficial,
淺顯,ㄑㄧㄢˇ ㄒㄧㄢˇ,plain / clear / obvious,
腔調,ㄑㄧㄤ ㄉㄧㄠˋ,accent,
牆角,ㄑㄧㄤˊ ㄐㄧㄠˇ,corner (junction of two walls),
強勁,ㄑㄧㄤˊ ㄐㄧㄥˋ,strong / powerful / robust,
強求,ㄑㄧㄤˇ ㄑㄧㄡˊ,to insist on / to demand / to impose,
強權,ㄑㄧㄤˊ ㄑㄩㄢˊ,power / might,
強壯,ㄑㄧㄤˊ ㄓㄨㄤˋ,strong / sturdy / robust,
瞧不起,ㄑㄧㄠˊ ㄅㄨˋ ㄑㄧˇ,to look down upon / to hold in contempt,
橋樑,ㄑㄧㄠˊ ㄌㄧㄤˊ,bridge / fig. connection between two areas,
巧合,ㄑㄧㄠˇ ㄏㄜˊ,coincidence / coincidental / to coincide,
俏,ㄑㄧㄠˋ,good-looking / charming / (of goods) in great demand / (coll.) to season (food),
翹,ㄑㄧㄠˋ,to stick up / to rise on one end / to tilt,
峭壁,ㄑㄧㄠˋ ㄅㄧˋ,cliff / steep / precipice,
翹課,ㄑㄧㄠˋ ㄎㄜˋ,to skip school / to cut class,
切磋,ㄑㄧㄝ ㄘㄨㄛ,to compare notes / to learn from one another / to swap pointers,
且,ㄑㄧㄝˇ,and / moreover / yet / for the time being / to be about to / both (... and...),
且,ㄑㄧㄝˇ,and / moreover / yet / for the time being / to be about to / both (... and...),
切實,ㄑㄧㄝˋ ㄕˊ,feasible / realistic / practical / earnestly / conscientiously,
竊賊,ㄑㄧㄝˋ ㄗㄟˊ,thief,
親,ㄑㄧㄣ,parents-in-law of one's offspring,
親熱,ㄑㄧㄣ ㄖㄜˋ,affectionate / intimate / warmhearted / to get intimate with sb,
親身,ㄑㄧㄣ ㄕㄣ,personal / oneself,
親生,ㄑㄧㄣ ㄕㄥ,one's own (child) (i.e. one's child by birth) / biological (parents) / birth (parents),
侵犯,ㄑㄧㄣ ㄈㄢˋ,to infringe on / to encroach on / to violate / to assault,
侵略,ㄑㄧㄣ ㄌㄩㄝˋ,invasion / encroachment,
侵蝕,ㄑㄧㄣ ㄕˊ,to erode / to corrode,
侵襲,ㄑㄧㄣ ㄒㄧˊ,to invade / to assail / onslaught,
欽佩,ㄑㄧㄣ ㄆㄟˋ,to admire / to look up to / to respect sb greatly,
琴,ㄑㄧㄣˊ,guqin 古琴[gu3 qin2] (a type of zither) / musical instrument in general,
勤奮,ㄑㄧㄣˊ ㄈㄣˋ,hardworking / diligent,
青春,ㄑㄧㄥ ㄔㄨㄣ,youth / youthfulness,
青翠,ㄑㄧㄥ ㄘㄨㄟˋ,fresh and green / verdant,
青蛙,ㄑㄧㄥ ㄨㄚ,frog / (slang) ugly guy,隻
清澈,ㄑㄧㄥ ㄔㄜˋ,clear / limpid,
清潔,ㄑㄧㄥ ㄐㄧㄝˊ,clean / to clean,
清靜,ㄑㄧㄥ ㄐㄧㄥˋ,quiet / peaceful and quiet,
清廉,ㄑㄧㄥ ㄌㄧㄢˊ,honest / uncorrupted,
清幽,ㄑㄧㄥ ㄧㄡ,(of a location) quiet and secluded / beautiful and secluded,
清掃,ㄑㄧㄥ ㄙㄠˇ,to tidy up / to mop up / a sweep (against crime),
傾向,ㄑㄧㄥ ㄒㄧㄤˋ,trend / tendency / orientation,
輕薄,ㄑㄧㄥ ㄅㄛˊ,light (weight) / frivolous / a philanderer / to scorn / disrespectful,
輕蔑,ㄑㄧㄥ ㄇㄧㄝˋ,to contempt / to disdain / pejorative,
輕易,ㄑㄧㄥ ㄧˋ,easily / lightly / rashly,
情報,ㄑㄧㄥˊ ㄅㄠˋ,information / intelligence,
情操,ㄑㄧㄥˊ ㄘㄠ,sentiments / feelings / disposition of mind / moral character,
情婦,ㄑㄧㄥˊ ㄈㄨˋ,mistress / paramour (of married man),
情節,ㄑㄧㄥˊ ㄐㄧㄝˊ,plot / circumstances,
情景,ㄑㄧㄥˊ ㄐㄧㄥˇ,scene / spectacle / circumstances / situation,
情侶,ㄑㄧㄥˊ ㄌㄩˇ,sweethearts / lovers,
情趣,ㄑㄧㄥˊ ㄑㄩˋ,inclinations and interests / delight / fun / interest / appeal,
慶幸,ㄑㄧㄥˋ ㄒㄧㄥˋ,to rejoice / to be glad,
丘陵,ㄑㄧㄡ ㄌㄧㄥˊ,hills,
求學,ㄑㄧㄡˊ ㄒㄩㄝˊ,to seek knowledge / to study / to attend college,
求助,ㄑㄧㄡˊ ㄓㄨˋ,to request help / to appeal (for help),
屈服,ㄑㄩ ㄈㄨˊ,to surrender / to succumb / to yield / (as a transitive verb) to defeat / to prevail over,
趨勢,ㄑㄩ ㄕˋ,trend / tendency,
渠道,ㄑㄩˊ ㄉㄠˋ,irrigation ditch / (fig.) channel / means,
取材,ㄑㄩˇ ㄘㄞˊ,to collect material,
取締,ㄑㄩˇ ㄉㄧˋ,to suppress / to crack down on / to prohibit,
取樣,ㄑㄩˇ ㄧㄤˋ,to take a sample,
取悅,ㄑㄩˇ ㄩㄝˋ,to try to please,
趣味,ㄑㄩˋ ㄨㄟˋ,fun / interest / delight / taste / liking / preference,
圈,ㄑㄩㄢ,"circle / ring / loop / classifier for loops, orbits, laps of race etc / to surround / to circle",個
圈子,ㄑㄩㄢ ㄗ˙,circle / ring / (social) circle,
拳,ㄑㄩㄢˊ,fist / boxing,
全力,ㄑㄩㄢˊ ㄌㄧˋ,with all one's strength / full strength / all-out (effort) / fully (support),
全盤,ㄑㄩㄢˊ ㄆㄢˊ,overall / comprehensive,
權力,ㄑㄩㄢˊ ㄌㄧˋ,power / authority,
權威,ㄑㄩㄢˊ ㄨㄟ,authority / authoritative / power and prestige,
權益,ㄑㄩㄢˊ ㄧˋ,rights / interests / rights and benefits,
泉源,ㄑㄩㄢˊ ㄩㄢˊ,springhead / fountainhead / (fig.) source,
勸導,ㄑㄩㄢˋ ㄉㄠˇ,to advise / to attempt to convince,
勸告,ㄑㄩㄢˋ ㄍㄠˋ,to advise / to urge / to exhort / exhortation / advice,席
缺陷,ㄑㄩㄝ ㄒㄧㄢˋ,defect / flaw / physical defect,
確保,ㄑㄩㄝˋ ㄅㄠˇ,to ensure / to guarantee,
確切,ㄑㄩㄝˋ ㄑㄧㄝˋ,definite / exact / precise,
確實,ㄑㄩㄝˋ ㄕˊ,indeed / really / reliable / real / true,
群島,ㄑㄩㄣˊ ㄉㄠˇ,group of islands / archipelago,
群居,ㄑㄩㄣˊ ㄐㄩ,to live together (in a large group or flock),
染料,ㄖㄢˇ ㄌㄧㄠˋ,dye,
嚷,ㄖㄤˇ,to blurt out / to shout,
饒,ㄖㄠˊ,rich / abundant / exuberant / to add for free / to throw in as bonus / to spare / to forgive / despite / although,
熱潮,ㄖㄜˋ ㄔㄠˊ,upsurge / popular craze,
熱帶,ㄖㄜˋ ㄉㄞˋ,the tropics / tropical,
熱量,ㄖㄜˋ ㄌㄧㄤˋ,heat / quantity of heat / calorific value,
熱水瓶,ㄖㄜˋ ㄕㄨㄟˇ ㄆㄧㄥˊ,thermos bottle / vacuum bottle / hot water dispenser (appliance),個
仁愛,ㄖㄣˊ ㄞˋ,benevolence / charity / compassion,
人次,ㄖㄣˊ ㄘˋ,person-times / visits / classifier for number of people participating,
人道,ㄖㄣˊ ㄉㄠˋ,"human sympathy / humanitarianism / humane / the ""human way"", one of the stages in the cycle of reincarnation (Buddhism) / sexual intercourse",
人禍,ㄖㄣˊ ㄏㄨㄛˋ,human disaster,
人際,ㄖㄣˊ ㄐㄧˋ,human relationships / interpersonal,
人情,ㄖㄣˊ ㄑㄧㄥˊ,human emotions / social relationship / friendship / favor / a good turn,
人群,ㄖㄣˊ ㄑㄩㄣˊ,crowd,
人士,ㄖㄣˊ ㄕˋ,person / figure / public figure,
人手,ㄖㄣˊ ㄕㄡˇ,manpower / staff / human hand,
人選,ㄖㄣˊ ㄒㄩㄢˇ,choice of person / candidate,
人造,ㄖㄣˊ ㄗㄠˋ,man-made / artificial / synthetic,
忍痛,ㄖㄣˇ ㄊㄨㄥˋ,to suffer / fig. reluctantly,
任,ㄖㄣˋ,"to assign / to appoint / to take up a post / office / responsibility / to let / to allow / to give free rein to / no matter (how, what etc) / classifier for terms served in office, or for spouses, girlfriends etc (as in 前任男友)",
任期,ㄖㄣˋ ㄑㄧˊ,term of office / tenure (entire period in office),屆
任意,ㄖㄣˋ ㄧˋ,any / arbitrary / at will / at random,
認錯,ㄖㄣˋ ㄘㄨㄛˋ,to admit an error / to acknowledge one's mistake,
認定,ㄖㄣˋ ㄉㄧㄥˋ,to maintain (that sth is true) / to determine (a fact) / determination (of an amount) / of the firm opinion / to believe firmly / to set one's mind on / to identify with,
日程,ㄖˋ ㄔㄥˊ,schedule / itinerary,個
日光燈,ㄖˋ ㄍㄨㄤ ㄉㄥ,fluorescent light,
日益,ㄖˋ ㄧˋ,day by day / more and more / increasingly / more and more with each passing day,
